ID,Verdict,Area,OneLine,PrimaryEvidence
B01,CONFIRMED,Firmware,cy.begin() never called; expander never initialized,firmware.ino:63 object only; zero cy.begin in tree (labrat rg)
B02,REJECTED,Driver,XRES is active-HIGH; begin ends LOW=deasserted not permanent reset,CY DS 38-12036 XRES active high; CY8C9560.cpp:5-8 HIGH then LOW
B03,CONFIRMED,Schematic,R3 pulls CY_SDA to GND (not +3.3V); SDA bus dead,sch R3.1=GND R3.2=CY_SDA; R2 correct pull-up on SCL
B04,CONFIRMED,Schematic,GPS UART not crossed (TX-TX/RX-RX) and/or wrong U3 pins,netlist TX1+TXD RX1+RXD; geometry also mislabels U3
B05,REJECTED,Schematic,VDD_USB→GND is correct when USB unused (HIM must GND),u-blox HIM §1.3.3; UART design no USB
B06,PARTIAL,Schematic,Q1 S/D inverted vs classic RPP; body-diode absolute block overstated,netlist +12V=Q1.S raw=Q1.D; P-FET D→S diode can still conduct
B07,CONFIRMED,Schematic,RGB LED cathodes no series current-limit resistors,LED_* nets = D3 + Teensy GPIO only
B08,CONFIRMED,Firmware,1<<i 32-bit/UB breaks pins ≥31; need 1ULL<<i,firmware.ino:144; NUM_HARNESS_PINS=40
B09,CONFIRMED,Firmware,Pass logic OR not AND: any single pin match ⇒ PASS,firmware.ino:142-156 passed=true never cleared
B10,CONFIRMED,Firmware,Button polarity inverted; return on LOW skips when pressed,firmware.ino:138 vs R4 pull-up active-low
B11,CONFIRMED,Driver,set_output forces DIR=0x00 all ports OUTPUT,CY8C9560.cpp:77-84; Port Dir 1Ch 0=out
B12,CONFIRMED,Driver,set_pd_inputs forces DIR=0xFF all ports INPUT undoing drive,CY8C9560.cpp:61-66 + call site after set_output
B13,REJECTED,Driver,Family high nibble for CY8C9560A is 6 not 0x04; ==0x06 correct,DS 2Eh high nibble 2/4/6 for 9520/9540/9560
B14,CONFIRMED,Firmware,LED pins 5/6/7 never pinMode(OUTPUT),setup only pinModes button+timepulse
B15,CONFIRMED,Firmware,SAFEBOOT/RST never pinMode(OUTPUT); digitalWrite only,firmware.ino:106-107 no pinMode
B16,CONFIRMED,Firmware,FAILED LED wiped each loop by set_status(GOOD) while time_fixed,firmware.ino:133-135 then 160-163
B17,PARTIAL,Firmware,Self-bit equality claim false under live 1<<i; latent under MSB map,0/40 self at bit i; diagonal only MSB=pin0 (B18)
B18,CONFIRMED,Firmware,EXPECTED matrix MSB-left vs code LSB 1<<i bit-order mismatch,EXPECTED row0 bit39; drive uses 1<<i
B19,CONFIRMED,Schematic,Port2 only bits0-3; linear 8-bit port model misaligns CBL_20+,sch Port2 nibble; FW 8×8 linear
B20,CONFIRMED,Firmware,NMEA 64-byte overflow + OOB null at buf[len],nmea_idx unbounded; process_nmea buf[len]=0
B21,CONFIRMED,Firmware,Only $GPRMC; misses $GNRMC (hygiene/config),process_nmea strncmp $GPRMC
B22,CONFIRMED,Firmware,No A/V validity check; void fixes accepted (hygiene),sscanf discards status %*c
B23,CONFIRMED,Firmware,No NMEA checksum verification (hygiene),process_nmea no * XOR check
B24,CONFIRMED,Firmware,No settle delay after expander reconfig before read,set_output/set_pd then immediate read_inputs
B25,REJECTED,Driver,Drive-mode last-1-wins; explicit prior clear not required by DS,DS 1Dh-23h write-1 changes mode; not a bug
B26,CONFIRMED,Driver,I2C helpers ignore endTransmission/requestFrom errors,CY8C9560.cpp read/write helpers discard status
B27,CONFIRMED,Firmware,No debounce/single-shot; retest flood with B10,loop full test every pass after lock
B28,CONFIRMED,Firmware,time_fixed freezes first-fix timestamps forever,!time_fixed gate blocks updates
B29,CONFIRMED,Firmware,SD.begin fail while(1) before LED pinMode; silent brick,firmware.ino:110-113 + B14
B30,CONFIRMED,Schematic,True ~RST/~SAFEBOOT pads NC float; no external pull-ups,U3 pin1/8 no_connect; MCU lines on USB pins
B31,CONFIRMED,PCB/Power,L7805 12→5 ~7V drop DPAK no thermal design,U1 TO-252 +12V→+5V continuous load
B32,CONFIRMED,PCB/Power,+3.3V only Teensy LDO for expander+GPS budget risk,no independent 3V3 reg; multi loads on rail
B33,CONFIRMED,PCB,U4 weak local Vdd decoupling (distant 100n no bulk),C3/C4 ~8mm; no µF near multi-Vdd
B34,REJECTED,PCB,Ethernet/USB Host silk is Teensy module footprint text not phantom connectors,U2 fp_text courtyard labels
B35,CONFIRMED,PCB,C6/U5 MAX2679 courtyard AABB overlap measured,centers ~1.22mm Y; F.CrtYd collision
B36,PARTIAL,PCB,CBL tracks 0.127mm real; 0.2mm rule not in board file,542 segs @0.127; no project min constraint
B37,PARTIAL,PCB,Zone clearance 0.15 real; 0.2 rule not project-enforced,all pours clearance=0.15
B38,PARTIAL,PCB,J3 edge-mount real; pin-number silk clip not evidenced,header hang-off intentional; no pin silk found
B39,PARTIAL,PCB,Many filled polygons consistent with islands; not proven net-split,44 filled_polygon; needs island net analysis
B40,PARTIAL,PCB,J1 edge-mount flush + Teensy ~1.3mm edge; fab-rule dependent,no copper-to-edge rule in file
B41,CONFIRMED,Schematic,LNA_EN/ANT_ON open while external MAX2679 present,U3 pin14 open; no module control of ext LNA
B42,REJECTED,PCB/Schematic,CY8C9560A-24AXIT is PG-TQFP-100 not 68-pin only,Infineon OPN + DS 100-pin pinout Table 5
B43,CONFIRMED,Firmware,SAFEBOOT held LOW permanently → Safe Boot no GNSS,digitalWrite LOW once; HIM active-low at start
B44,DUPLICATE,Firmware,Same 1<< class as B08 in debug print path only,firmware.ino:152; primary B08
B45,REJECTED,PCB,Root 68-pin fiction false; 100-pin map valid for this OPN,depends on B42; optional 12x12 vs 14x14 separate
B46,REJECTED,Schematic,D_SEL open/high selects UART+DDC (desired); float correct,NEO-M8 DS D_SEL open=UART
B47,CONFIRMED,Driver,Always reads 8 port bytes; ports 5-7 largely NC pollute mask,read_inputs len=8; NC pull-up 1s
B48,PARTIAL,Firmware,No explicit flush; File.close() usually syncs; power-fail residual,log_result open/print/close only
B49,CONFIRMED,Schematic,L1=12nH wrong decade for GNSS bias-T choke (~µH),sch Value 12n on RF/LNA path
